match_id,team1_id,team2_id
1359529,3,15
1359530,1,5
1359531,7,18
1359532,11,17
1359533,16,15
1359534,2,5
1359535,3,1
1359536,18,11
1359537,17,7
1359538,15,16
1359539,11,2
1359540,16,5
1359541,3,15
1359542,17,1
1359543,11,7
1359544,2,18
1370350,3,18
1370351,7,17
1370352,18,7
1370353,18,3
1422119,19,3
1422120,15,16
1422121,1,11
1422122,5,17
1422123,18,7
1422124,16,19
1422125,3,18
1422126,11,7
1422127,5,15
1422128,19,1
1422129,17,16
1422130,11,18
1422131,15,3
1422132,7,5
1422133,17,19
1422134,1,15
1422135,18,16
1422136,3,11
1422137,19,5
1422138,7,15
1422139,17,18
1426260,1,3
1426261,11,16
1426262,5,18
1426263,19,7
1426264,17,15
1426265,16,5
1426266,17,1
1426267,3,7
1426268,11,19
1426269,1,5
1426270,18,15
1426271,7,16
1426272,3,17
1426273,11,15
1426274,1,19
1426275,16,18
1426276,7,5
1426277,3,17
1426278,15,18
1426279,19,11
1426280,1,16
1426281,15,7
1426282,17,5
1426283,18,19
1426284,3,11
1426285,15,1
1426286,7,17
1426287,3,16
1426288,11,5
1426289,1,7
1426290,18,19
1426291,3,16
1426292,1,17
1426293,11,7
1426294,15,5
1426295,17,11
1426296,19,16
1426297,18,3
1426298,1,7
1426299,5,3
1426300,19,15
1426302,15,17
1426303,5,16
1426305,17,7
1426306,19,3
1426307,16,11
1426309,11,1
1426310,19,5
1426311,11,5
1426312,11,1
1473438,1,19
1473439,11,5
1473440,7,3
1473441,17,15
1473442,16,18
1473443,5,1
1473444,11,17
1473445,19,3
1473446,18,7
1473447,11,15
1473448,5,3
1473449,1,7
1473450,17,16
1473451,19,18
1473452,1,11
1473453,17,7
1473454,15,3
1473455,5,16
1473456,17,1
1473457,11,18
1473458,19,7
1473459,16,3
1473460,18,5
1473461,19,15
1473462,3,1
1473463,18,17
1473464,16,11
1473465,5,19
1473466,7,15
1473467,17,3
1473468,16,1
1473469,15,5
1473470,11,7
1473471,19,16
1473472,15,18
1473473,17,5
1473474,16,19
1473475,3,7
1473476,18,1
1473477,17,15
1473478,11,7
1473479,19,5
1473480,3,11
1473481,16,1
1473482,7,17
1473483,15,19
1473484,18,5
1473485,1,15
1473486,3,16
1473487,7,5
1473488,18,11
1473489,19,3
1473490,1,5
1473491,16,17
1473492,15,11
1473493,7,18
1473494,1,3
1473495,16,15
1473497,16,5
1473498,15,18
1473499,17,11
1473500,3,5
1473501,7,15
1473502,17,18
1473503,11,19
1473504,3,18
1473505,11,1
1473506,7,16
1473507,17,19
1473508,16,19
1473509,7,18
1473510,7,16
1473511,19,16
1485779,16,15
1527674,11,19
1527675,1,7
1527676,3,5
1527677,18,16
1527678,17,15
1527679,11,1
1527680,3,16
1527681,7,15
1527682,5,18
1527683,11,17
1527684,19,3
1527685,1,16
1527686,5,7
1527687,18,15
1527688,1,17
1527689,19,5
1527690,11,16
1527691,3,15
1527692,17,18
1527693,19,7
1529264,11,5
1529265,3,1
1529266,17,19
1529267,7,16
